symbol,raw_symbol,company,sector,sub_industry,country,market_benchmark,sector_benchmark
TRV,TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,US,SPY,XLF
TSCO,TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,US,SPY,XLY
TSLA,TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,US,SPY,XLY
TSN,TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,US,SPY,XLP
TT,TT,Trane Technologies,Industrials,Building Products,US,SPY,XLI
TTD,TTD,Trade Desk (The),Communication Services,Advertising,US,SPY,XLC
TTWO,TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,US,SPY,XLC
TXN,TXN,Texas Instruments,Information Technology,Semiconductors,US,SPY,XLK
TXT,TXT,Textron,Industrials,Aerospace & Defense,US,SPY,XLI
TYL,TYL,Tyler Technologies,Information Technology,Application Software,US,SPY,XLK
UAL,UAL,United Airlines Holdings,Industrials,Passenger Airlines,US,SPY,XLI
UBER,UBER,Uber,Industrials,Passenger Ground Transportation,US,SPY,XLI
UDR,UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,US,SPY,XLRE
UHS,UHS,Universal Health Services,Health Care,Health Care Facilities,US,SPY,XLV
ULTA,ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,US,SPY,XLY
UNH,UNH,UnitedHealth Group,Health Care,Managed Health Care,US,SPY,XLV
UNP,UNP,Union Pacific Corporation,Industrials,Rail Transportation,US,SPY,XLI
UPS,UPS,United Parcel Service,Industrials,Air Freight & Logistics,US,SPY,XLI
URI,URI,United Rentals,Industrials,Trading Companies & Distributors,US,SPY,XLI
USB,USB,U.S. Bancorp,Financials,Diversified Banks,US,SPY,XLF
V,V,Visa Inc.,Financials,Transaction & Payment Processing Services,US,SPY,XLF
VICI,VICI,Vici Properties,Real Estate,Hotel & Resort REITs,US,SPY,XLRE
VLO,VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,US,SPY,XLE
VLTO,VLTO,Veralto,Industrials,Environmental & Facilities Services,US,SPY,XLI
VMC,VMC,Vulcan Materials Company,Materials,Construction Materials,US,SPY,XLB
VRSK,VRSK,Verisk Analytics,Industrials,Research & Consulting Services,US,SPY,XLI
VRSN,VRSN,Verisign,Information Technology,Internet Services & Infrastructure,US,SPY,XLK
VRT,VRT,Vertiv,Industrials,Electrical Components & Equipment,US,SPY,XLI
VRTX,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,US,SPY,XLV
VST,VST,Vistra Corp.,Utilities,Electric Utilities,US,SPY,XLU
VTR,VTR,Ventas,Real Estate,Health Care REITs,US,SPY,XLRE
VTRS,VTRS,Viatris,Health Care,Pharmaceuticals,US,SPY,XLV
VZ,VZ,Verizon,Communication Services,Integrated Telecommunication Services,US,SPY,XLC
WAB,WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,US,SPY,XLI
WAT,WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,US,SPY,XLV
WBD,WBD,Warner Bros. Discovery,Communication Services,Broadcasting,US,SPY,XLC
WDAY,WDAY,"Workday, Inc.",Information Technology,Application Software,US,SPY,XLK
WDC,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",US,SPY,XLK
WEC,WEC,WEC Energy Group,Utilities,Electric Utilities,US,SPY,XLU
